date,total_price,quantity,num_transactions
2024-05-27,102289.10000000002,184,33
2024-05-28,61376.16,108,20
2024-05-29,79284.52,180,31
2024-05-30,70031.57999999999,179,35
2024-05-31,95417.85,157,24
2024-06-01,118620.30000000002,181,27
2024-06-02,90562.97,174,31
2024-06-03,61270.31999999999,124,27
2024-06-04,86071.15,165,26
2024-06-05,94991.08,193,37
2024-06-06,57604.91,119,22
2024-06-07,64412.78,127,24
2024-06-08,46227.630000000005,78,18
2024-06-09,51836.85,107,20
2024-06-10,44342.11,96,15
2024-06-11,72306.9,128,21
2024-06-12,77103.13,143,29
2024-06-13,52995.69,110,21
2024-06-14,69590.09,145,29
2024-06-15,47468.65000000001,137,26
2024-06-16,68143.37000000001,161,26
2024-06-17,103802.04999999999,217,35
2024-06-18,31084.46,77,15
2024-06-19,58177.79,112,25
2024-06-20,86243.13,158,32
2024-06-21,84554.16999999998,136,23
2024-06-22,78898.89,124,26
2024-06-23,82154.62,185,29
2024-06-24,106191.19,163,30
2024-06-25,84420.66999999998,144,29
2024-06-26,102762.18000000001,210,33
2024-06-27,75147.21999999999,151,27
2024-06-28,92006.47,145,26
2024-06-29,68727.72,134,25
2024-06-30,62282.18000000001,118,23
2024-07-01,57375.020000000004,112,24
2024-07-02,66993.46999999999,113,23
2024-07-03,50240.6,119,23
2024-07-04,72664.29,143,24
2024-07-05,81949.09999999999,131,28
2024-07-06,80963.23000000001,150,31
2024-07-07,61627.08,140,30
2024-07-08,52023.48,99,21
2024-07-09,90680.85,182,34
2024-07-10,93549.35,166,30
2024-07-11,52859.54,119,21
2024-07-12,76747.24,140,26
2024-07-13,74665.08,178,34
2024-07-14,92081.58000000002,190,33
2024-07-15,95850.86,169,28
2024-07-16,75022.6,120,28
2024-07-17,54629.38,116,23
2024-07-18,58080.64,133,24
2024-07-19,55538.20999999999,126,25
2024-07-20,69953.70999999999,116,21
2024-07-21,47544.53999999999,110,26
2024-07-22,57214.719999999994,125,23
2024-07-23,81333.73999999999,154,31
2024-07-24,83955.33,169,28
2024-07-25,49540.9,105,21
2024-07-26,78351.06999999999,172,28
2024-07-27,97690.21,164,30
2024-07-28,68785.79,151,29
2024-07-29,81814.48,191,32
2024-07-30,81460.79000000001,169,31
2024-07-31,115121.87,218,38
2024-08-01,73740.70000000001,117,21
2024-08-02,68031.85,129,22
2024-08-03,56622.93,111,19
2024-08-04,65197.61000000001,129,23
2024-08-05,119679.93999999997,229,33
2024-08-06,66038.72,121,22
2024-08-07,75119.91,124,24
2024-08-08,71753.66,153,30
2024-08-09,97317.84000000001,196,31
2024-08-10,83030.1,141,27
2024-08-11,92711.11,190,31
2024-08-12,61450.13,128,22
2024-08-13,71577.15999999999,146,22
2024-08-14,57717.98,107,19
2024-08-15,89390.77,160,29
2024-08-16,67824.59,130,23
2024-08-17,77325.89000000001,167,30
2024-08-18,65026.95,128,24
2024-08-19,107900.94999999998,189,33
2024-08-20,64918.07,130,26
2024-08-21,51961.72,117,23
2024-08-22,66891.98,139,31
2024-08-23,68325.01000000001,121,22
2024-08-24,76378.01999999999,116,18
2024-08-25,96954.52999999998,161,29
2024-08-26,67891.12000000001,148,25
2024-08-27,89279.83000000002,173,32
2024-08-28,64694.189999999995,150,27
2024-08-29,73484.04,136,25
2024-08-30,67884.62999999999,153,30
2024-08-31,48734.88,105,27
2024-09-01,51074.13999999999,105,21
2024-09-02,91011.08,182,31
2024-09-03,79371.08,153,27
2024-09-04,71340.45999999999,142,24
2024-09-05,55174.64,98,19
2024-09-06,110003.76,208,36
2024-09-07,73227.43999999999,161,29
2024-09-08,88302.66,166,36
2024-09-09,59425.66,117,21
2024-09-10,77968.42000000001,161,32
2024-09-11,94963.30999999998,238,43
2024-09-12,89741.0,161,30
2024-09-13,60337.10999999999,119,21
2024-09-14,65086.66999999999,125,23
2024-09-15,48409.490000000005,114,22
2024-09-16,64616.55,140,28
2024-09-17,71519.08000000002,142,25
2024-09-18,76015.01999999999,179,36
2024-09-19,61962.200000000004,160,35
2024-09-20,60190.08,115,22
2024-09-21,81512.73999999999,145,27
2024-09-22,69000.1,133,29
2024-09-23,62173.740000000005,124,24
2024-09-24,71922.47,121,22
2024-09-25,95940.8,202,34
2024-09-26,62037.25000000001,114,21
2024-09-27,70328.42,148,26
2024-09-28,64493.04000000001,136,25
2024-09-29,82764.40000000001,157,33
2024-09-30,80361.86,177,33
2024-10-01,62129.64,154,29
2024-10-02,63063.37,134,25
2024-10-03,65771.12,134,21
2024-10-04,45547.25,112,23
2024-10-05,68081.54999999999,121,24
2024-10-06,75828.19,123,24
2024-10-07,74177.44,141,26
2024-10-08,110005.32999999999,212,35
2024-10-09,65216.54000000001,140,24
2024-10-10,117324.13,221,39
2024-10-11,82078.46,159,26
2024-10-12,86274.45,159,29
2024-10-13,92373.22,176,31
2024-10-14,58260.88999999999,136,26
2024-10-15,32494.88,81,19
2024-10-16,65872.25,136,22
2024-10-17,107123.98000000001,209,37
2024-10-18,90739.44,232,36
2024-10-19,73488.09,138,27
2024-10-20,102930.6,191,32
2024-10-21,55655.93,135,27
2024-10-22,86136.63000000002,155,31
2024-10-23,67493.93000000001,129,23
2024-10-24,27114.100000000006,74,17
2024-10-25,73705.01,157,29
2024-10-26,77919.81000000001,165,27
2024-10-27,31094.0,62,14
2024-10-28,84267.73,140,22
2024-10-29,78842.64,142,23
2024-10-30,61755.87,145,27
2024-10-31,80911.02999999998,127,23
2024-11-01,97066.8,198,34
2024-11-02,45326.549999999996,91,13
2024-11-03,65866.66,137,27
2024-11-04,54606.329999999994,105,20
2024-11-05,71763.54,145,24
2024-11-06,106644.52000000002,188,37
2024-11-07,61876.04,105,22
2024-11-08,89457.09,153,26
2024-11-09,109161.63999999998,176,29
2024-11-10,44992.71,117,24
2024-11-11,82290.52,160,27
2024-11-12,63185.630000000005,122,23
2024-11-13,65494.65999999999,113,23
2024-11-14,45486.17,117,27
2024-11-15,80704.39999999998,175,35
2024-11-16,76869.36,151,29
2024-11-17,64807.119999999995,117,26
2024-11-18,89073.03,150,25
2024-11-19,104671.87999999999,194,34
2024-11-20,91332.27,181,32
2024-11-21,49062.08,88,18
2024-11-22,65202.659999999996,150,26
2024-11-23,103888.11,200,30
2024-11-24,89468.66,211,33
2024-11-25,38304.009999999995,93,18
2024-11-26,76942.81999999999,166,31
2024-11-27,98399.91999999998,208,32
2024-11-28,85597.75000000001,154,27
2024-11-29,74880.94,131,24
2024-11-30,73757.12000000001,134,26
2024-12-01,78342.3,168,27
2024-12-02,34852.64,89,19
2024-12-03,72100.09000000001,180,34
2024-12-04,57073.11,120,20
2024-12-05,77458.26000000001,147,25
2024-12-06,78241.56,147,27
2024-12-07,97709.44,195,32
2024-12-08,85224.21,157,29
2024-12-09,105356.96,225,41
2024-12-10,101313.49,207,35
2024-12-11,59950.89,110,20
2024-12-12,45116.16,110,21
2024-12-13,82143.08,165,36
2024-12-14,82161.15,160,30
2024-12-15,59535.979999999996,131,24
2024-12-16,67701.62999999999,143,26
2024-12-17,75590.91999999998,119,20
2024-12-18,30490.329999999998,85,21
2024-12-19,124163.13,185,35
2024-12-20,82795.15999999999,156,26
2024-12-21,77393.81999999999,154,27
2024-12-22,77318.63999999998,180,31
2024-12-23,84134.65,141,27
2024-12-24,46391.4,105,23
2024-12-25,66837.49,137,23
2024-12-26,72774.79,133,29
2024-12-27,77426.86,168,26
2024-12-28,96380.83,198,37
2024-12-29,57889.26,108,23
2024-12-30,99335.26000000001,176,31
2024-12-31,90169.20999999999,167,31
2025-01-01,60190.409999999996,111,22
2025-01-02,81789.78,125,23
2025-01-03,85439.40999999999,168,28
2025-01-04,65285.799999999996,137,27
2025-01-05,117429.73,235,41
2025-01-06,101763.84000000001,184,34
2025-01-07,82205.06000000001,150,31
2025-01-08,93302.77000000002,175,32
2025-01-09,85182.54000000001,207,34
2025-01-10,84548.45000000001,175,31
2025-01-11,79351.03000000001,146,26
2025-01-12,63888.03000000001,101,17
2025-01-13,66109.95999999999,118,22
2025-01-14,76476.95,158,33
2025-01-15,54266.46000000001,133,24
2025-01-16,76731.51000000001,129,24
2025-01-17,63487.09,129,24
2025-01-18,123511.58000000002,228,36
2025-01-19,113607.06000000001,235,38
2025-01-20,54388.27,136,26
2025-01-21,62541.24999999999,116,26
2025-01-22,100056.66,211,36
2025-01-23,75858.59,137,27
2025-01-24,84918.94,187,33
2025-01-25,63266.53999999999,129,22
2025-01-26,74584.21,159,27
2025-01-27,107663.82,190,38
2025-01-28,74593.28,129,25
2025-01-29,88762.01999999999,158,31
2025-01-30,95433.5,158,29
2025-01-31,92004.25999999998,198,33
2025-02-01,92772.50000000001,146,24
2025-02-02,101915.74,190,32
2025-02-03,50720.55999999999,128,19
2025-02-04,74015.26,154,27
2025-02-05,71570.71999999999,132,25
2025-02-06,73961.34999999999,151,30
2025-02-07,72534.81,169,29
2025-02-08,98771.06000000001,176,32
2025-02-09,84097.43,187,32
2025-02-10,70582.36,125,24
2025-02-11,132976.90999999997,278,38
2025-02-12,64101.479999999996,130,27
2025-02-13,91397.69,155,28
2025-02-14,128525.84,211,37
2025-02-15,64692.619999999995,125,28
2025-02-16,83096.76000000001,184,33
2025-02-17,60951.799999999996,125,26
2025-02-18,77018.31000000001,153,26
2025-02-19,53987.27,103,22
2025-02-20,88027.34,196,35
2025-02-21,57233.87999999999,133,24
2025-02-22,83498.98,155,28
2025-02-23,93499.72,172,28
2025-02-24,58047.16999999999,172,31
2025-02-25,84449.14,167,29
2025-02-26,52112.91,114,28
2025-02-27,67890.74,138,31
2025-02-28,47986.85999999999,105,27
2025-03-01,58350.82,101,27
2025-03-02,82716.40000000001,168,31
2025-03-03,92890.63999999998,175,28
2025-03-04,56583.11,100,19
2025-03-05,47016.5,97,18
2025-03-06,92150.48,231,41
2025-03-07,88319.5,185,33
2025-03-08,89549.02,186,31
2025-03-09,85034.13999999998,137,23
2025-03-10,101991.89000000001,186,35
2025-03-11,89786.66,173,29
2025-03-12,92827.36999999998,181,32
2025-03-13,78503.71,173,30
2025-03-14,89060.99,158,27
2025-03-15,115727.1,189,34
2025-03-16,67861.81999999999,135,32
2025-03-17,39220.13,70,15
2025-03-18,60546.49999999999,113,19
2025-03-19,12175.220000000001,26,6
